"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"2"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"3"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"4"	"Eddie"	"Irvine"	"IRV"	"Ferrari"
"5"	"Heinz-Harald"	"Frentzen"	"FRE"	"Williams Mecachrome"
"6"	"Jacques"	"Villeneuve"	"VIL"	"Williams Mecachrome"
"7"	"Ralf"	"Schumacher"	"RSC"	"Jordan Mugen Honda"
"8"	"Damon"	"Hill"	"HIL"	"Jordan Mugen Honda"
"9"	"Alexander"	"Wurz"	"WUR"	"Benetton Playlife"
"10"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Playlife"
"11"	"Johnny"	"Herbert"	"HER"	"Sauber Petronas"
"12"	"Jean"	"Alesi"	"ALE"	"Sauber Petronas"
"13"	"Olivier"	"Panis"	"PAN"	"Prost Peugeot"
"14"	"Jarno"	"Trulli"	"TRU"	"Prost Peugeot"
"15"	"Mika"	"Salo"	"SAL"	"Arrows"
"16"	"Rubens"	"Barrichello"	"BAR"	"Stewart Ford"
"17"	"Toranosuke"	"Takagi"	"TAK"	"Tyrrell Ford"
"18"	"Pedro"	"Diniz"	"DIN"	"Arrows"
"19"	"Jos"	"Verstappen"	"VER"	"Stewart Ford"
"20"	"Shinji"	"Nakano"	"NAK"	"Minardi Ford"
"21"	"Esteban"	"Tuero"	"TUE"	"Minardi Ford"
