"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"David"	"Coulthard"	"COU"	"McLaren Mercedes"
"2"	"Mika"	"Hakkinen"	"HAK"	"McLaren Mercedes"
"3"	"Ralf"	"Schumacher"	"RSC"	"Williams BMW"
"4"	"Michael"	"Schumacher"	"MSC"	"Ferrari"
"5"	"Jarno"	"Trulli"	"TRU"	"Jordan Honda"
"6"	"Rubens"	"Barrichello"	"BAR"	"Ferrari"
"7"	"Juan Pablo"	"Montoya"	"MOY"	"Williams BMW"
"8"	"Olivier"	"Panis"	"PAN"	"BAR Honda"
"9"	"Heinz-Harald"	"Frentzen"	"FRE"	"Jordan Honda"
"10"	"Kimi"	"Räikkönen"	"RAI"	"Sauber Petronas"
"11"	"Jacques"	"Villeneuve"	"VIL"	"BAR Honda"
"12"	"Nick"	"Heidfeld"	"HEI"	"Sauber Petronas"
"13"	"Eddie"	"Irvine"	"IRV"	"Jaguar Cosworth"
"14"	"Jean"	"Alesi"	"ALE"	"Prost Acer"
"15"	"Luciano"	"Burti"	"BUR"	"Jaguar Cosworth"
"16"	"Enrique"	"Bernoldi"	"BER"	"Arrows Asiatech"
"17"	"Jos"	"Verstappen"	"VER"	"Arrows Asiatech"
"18"	"Fernando"	"Alonso"	"ALO"	"Minardi European"
"19"	"Giancarlo"	"Fisichella"	"FIS"	"Benetton Renault"
"20"	"Gaston"	"Mazzacane"	"MAZ"	"Prost Acer"
"21"	"Jenson"	"Button"	"BUT"	"Benetton Renault"
"22"	"Tarso"	"Marques"	"MAR"	"Minardi European"
